date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2014-05-24,11417,Saturday,1,5,2014,d_1212,,,,,0,0,0
2014-05-25,11417,Sunday,2,5,2014,d_1213,,,,,0,0,0
2014-05-26,11417,Monday,3,5,2014,d_1214,MemorialDay,National,,,0,0,0
2014-05-27,11417,Tuesday,4,5,2014,d_1215,,,,,0,0,0
2014-05-28,11417,Wednesday,5,5,2014,d_1216,,,,,0,0,0
2014-05-29,11417,Thursday,6,5,2014,d_1217,,,,,0,0,0
2014-05-30,11417,Friday,7,5,2014,d_1218,,,,,0,0,0
2014-05-31,11418,Saturday,1,5,2014,d_1219,,,,,0,0,0
2014-06-01,11418,Sunday,2,6,2014,d_1220,,,,,1,1,0
2014-06-02,11418,Monday,3,6,2014,d_1221,,,,,1,0,1
2014-06-03,11418,Tuesday,4,6,2014,d_1222,,,,,1,1,1
2014-06-04,11418,Wednesday,5,6,2014,d_1223,,,,,1,0,0
2014-06-05,11418,Thursday,6,6,2014,d_1224,NBAFinalsStart,Sporting,,,1,1,1
2014-06-06,11418,Friday,7,6,2014,d_1225,,,,,1,1,1
2014-06-07,11419,Saturday,1,6,2014,d_1226,,,,,1,1,0
2014-06-08,11419,Sunday,2,6,2014,d_1227,,,,,1,0,1
2014-06-09,11419,Monday,3,6,2014,d_1228,,,,,1,1,1
2014-06-10,11419,Tuesday,4,6,2014,d_1229,,,,,1,0,0
2014-06-11,11419,Wednesday,5,6,2014,d_1230,,,,,0,1,1
2014-06-12,11419,Thursday,6,6,2014,d_1231,,,,,0,1,1
2014-06-13,11419,Friday,7,6,2014,d_1232,,,,,0,1,0
2014-06-14,11420,Saturday,1,6,2014,d_1233,,,,,0,0,1
2014-06-15,11420,Sunday,2,6,2014,d_1234,NBAFinalsEnd,Sporting,Father's day,Cultural,0,1,1
2014-06-16,11420,Monday,3,6,2014,d_1235,,,,,0,0,0
2014-06-17,11420,Tuesday,4,6,2014,d_1236,,,,,0,0,0
2014-06-18,11420,Wednesday,5,6,2014,d_1237,,,,,0,0,0
2014-06-19,11420,Thursday,6,6,2014,d_1238,,,,,0,0,0
2014-06-20,11420,Friday,7,6,2014,d_1239,,,,,0,0,0
2014-06-21,11421,Saturday,1,6,2014,d_1240,,,,,0,0,0
2014-06-22,11421,Sunday,2,6,2014,d_1241,,,,,0,0,0
2014-06-23,11421,Monday,3,6,2014,d_1242,,,,,0,0,0
2014-06-24,11421,Tuesday,4,6,2014,d_1243,,,,,0,0,0
2014-06-25,11421,Wednesday,5,6,2014,d_1244,,,,,0,0,0
2014-06-26,11421,Thursday,6,6,2014,d_1245,,,,,0,0,0
2014-06-27,11421,Friday,7,6,2014,d_1246,,,,,0,0,0
2014-06-28,11422,Saturday,1,6,2014,d_1247,,,,,0,0,0
2014-06-29,11422,Sunday,2,6,2014,d_1248,Ramadan starts,Religious,,,0,0,0
2014-06-30,11422,Monday,3,6,2014,d_1249,,,,,0,0,0
2014-07-01,11422,Tuesday,4,7,2014,d_1250,,,,,1,1,0
2014-07-02,11422,Wednesday,5,7,2014,d_1251,,,,,1,0,1
2014-07-03,11422,Thursday,6,7,2014,d_1252,,,,,1,1,1
2014-07-04,11422,Friday,7,7,2014,d_1253,IndependenceDay,National,,,1,0,0
2014-07-05,11423,Saturday,1,7,2014,d_1254,,,,,1,1,1
2014-07-06,11423,Sunday,2,7,2014,d_1255,,,,,1,1,1
2014-07-07,11423,Monday,3,7,2014,d_1256,,,,,1,1,0
2014-07-08,11423,Tuesday,4,7,2014,d_1257,,,,,1,0,1
2014-07-09,11423,Wednesday,5,7,2014,d_1258,,,,,1,1,1
2014-07-10,11423,Thursday,6,7,2014,d_1259,,,,,1,0,0
2014-07-11,11423,Friday,7,7,2014,d_1260,,,,,0,1,1
2014-07-12,11424,Saturday,1,7,2014,d_1261,,,,,0,1,1
2014-07-13,11424,Sunday,2,7,2014,d_1262,,,,,0,1,0
2014-07-14,11424,Monday,3,7,2014,d_1263,,,,,0,0,1
2014-07-15,11424,Tuesday,4,7,2014,d_1264,,,,,0,1,1
2014-07-16,11424,Wednesday,5,7,2014,d_1265,,,,,0,0,0
2014-07-17,11424,Thursday,6,7,2014,d_1266,,,,,0,0,0
2014-07-18,11424,Friday,7,7,2014,d_1267,,,,,0,0,0
2014-07-19,11425,Saturday,1,7,2014,d_1268,,,,,0,0,0
2014-07-20,11425,Sunday,2,7,2014,d_1269,,,,,0,0,0
2014-07-21,11425,Monday,3,7,2014,d_1270,,,,,0,0,0
2014-07-22,11425,Tuesday,4,7,2014,d_1271,,,,,0,0,0
2014-07-23,11425,Wednesday,5,7,2014,d_1272,,,,,0,0,0
2014-07-24,11425,Thursday,6,7,2014,d_1273,,,,,0,0,0
2014-07-25,11425,Friday,7,7,2014,d_1274,,,,,0,0,0
2014-07-26,11426,Saturday,1,7,2014,d_1275,,,,,0,0,0
2014-07-27,11426,Sunday,2,7,2014,d_1276,,,,,0,0,0
2014-07-28,11426,Monday,3,7,2014,d_1277,,,,,0,0,0
2014-07-29,11426,Tuesday,4,7,2014,d_1278,Eid al-Fitr,Religious,,,0,0,0
2014-07-30,11426,Wednesday,5,7,2014,d_1279,,,,,0,0,0
2014-07-31,11426,Thursday,6,7,2014,d_1280,,,,,0,0,0
2014-08-01,11426,Friday,7,8,2014,d_1281,,,,,1,1,0
2014-08-02,11427,Saturday,1,8,2014,d_1282,,,,,1,0,1
2014-08-03,11427,Sunday,2,8,2014,d_1283,,,,,1,1,1
2014-08-04,11427,Monday,3,8,2014,d_1284,,,,,1,0,0
2014-08-05,11427,Tuesday,4,8,2014,d_1285,,,,,1,1,1
2014-08-06,11427,Wednesday,5,8,2014,d_1286,,,,,1,1,1
2014-08-07,11427,Thursday,6,8,2014,d_1287,,,,,1,1,0
2014-08-08,11427,Friday,7,8,2014,d_1288,,,,,1,0,1
2014-08-09,11428,Saturday,1,8,2014,d_1289,,,,,1,1,1
2014-08-10,11428,Sunday,2,8,2014,d_1290,,,,,1,0,0
2014-08-11,11428,Monday,3,8,2014,d_1291,,,,,0,1,1
