date,item_id,forecast
2016-05-23,FOODS_1_004,4.3208
2016-05-24,FOODS_1_004,3.3542
2016-05-25,FOODS_1_004,2.8516
2016-05-26,FOODS_1_004,2.7587
2016-05-27,FOODS_1_004,2.8988
2016-05-28,FOODS_1_004,3.2907
2016-05-29,FOODS_1_004,3.0936
2016-05-30,FOODS_1_004,4.3825
2016-05-31,FOODS_1_004,3.1402
2016-06-01,FOODS_1_004,2.7512
2016-06-02,FOODS_1_004,2.6739
2016-06-03,FOODS_1_004,2.6674
2016-06-04,FOODS_1_004,3.1471
2016-06-05,FOODS_1_004,3.2116
2016-06-06,FOODS_1_004,4.2352
2016-06-07,FOODS_1_004,3.3236
2016-06-08,FOODS_1_004,2.7871
2016-06-09,FOODS_1_004,2.6556
2016-06-10,FOODS_1_004,2.5884
2016-06-11,FOODS_1_004,3.0059
2016-06-12,FOODS_1_004,2.8979
2016-06-13,FOODS_1_004,4.0633
2016-06-14,FOODS_1_004,2.7513
2016-06-15,FOODS_1_004,2.5812
2016-06-16,FOODS_1_004,2.498
2016-06-17,FOODS_1_004,2.2398
2016-06-18,FOODS_1_004,3.274
2016-06-19,FOODS_1_004,3.1934
2016-06-20,FOODS_1_004,4.2412
2016-06-21,FOODS_1_004,3.5129
2016-05-23,FOODS_1_006,2.3803
2016-05-24,FOODS_1_006,2.1035
2016-05-25,FOODS_1_006,1.9051
2016-05-26,FOODS_1_006,1.7498
2016-05-27,FOODS_1_006,1.678
2016-05-28,FOODS_1_006,2.02
2016-05-29,FOODS_1_006,1.962
2016-05-30,FOODS_1_006,2.8525
2016-05-31,FOODS_1_006,2.0624
2016-06-01,FOODS_1_006,1.5987
2016-06-02,FOODS_1_006,1.6973
2016-06-03,FOODS_1_006,1.717
2016-06-04,FOODS_1_006,1.9622
2016-06-05,FOODS_1_006,1.8989
2016-06-06,FOODS_1_006,2.4123
2016-06-07,FOODS_1_006,1.7988
2016-06-08,FOODS_1_006,1.499
2016-06-09,FOODS_1_006,1.4006
2016-06-10,FOODS_1_006,1.4383
2016-06-11,FOODS_1_006,1.6737
2016-06-12,FOODS_1_006,1.6661
2016-06-13,FOODS_1_006,2.5207
2016-06-14,FOODS_1_006,1.8023
2016-06-15,FOODS_1_006,1.3797
2016-06-16,FOODS_1_006,1.3787
2016-06-17,FOODS_1_006,1.278
2016-06-18,FOODS_1_006,1.7281
2016-06-19,FOODS_1_006,1.4971
2016-06-20,FOODS_1_006,2.1968
2016-06-21,FOODS_1_006,1.7733
2016-05-23,FOODS_1_012,4.1746
2016-05-24,FOODS_1_012,3.2153
2016-05-25,FOODS_1_012,2.9154
2016-05-26,FOODS_1_012,2.7606
2016-05-27,FOODS_1_012,2.6924
2016-05-28,FOODS_1_012,2.8862
2016-05-29,FOODS_1_012,3.0997
2016-05-30,FOODS_1_012,4.0072
2016-05-31,FOODS_1_012,3.1493
2016-06-01,FOODS_1_012,2.7005
2016-06-02,FOODS_1_012,2.6822
2016-06-03,FOODS_1_012,2.6858
2016-06-04,FOODS_1_012,2.8285
2016-06-05,FOODS_1_012,2.9522
2016-06-06,FOODS_1_012,3.9222
2016-06-07,FOODS_1_012,3.0181
2016-06-08,FOODS_1_012,2.6415
2016-06-09,FOODS_1_012,2.5204
2016-06-10,FOODS_1_012,2.5581
2016-06-11,FOODS_1_012,2.8185
2016-06-12,FOODS_1_012,2.874
2016-06-13,FOODS_1_012,3.9735
2016-06-14,FOODS_1_012,3.0718
2016-06-15,FOODS_1_012,2.5768
