item_id,abc_class,xyz_class,abc_xyz,avg_daily_demand,safety_stock_95,reorder_point_lt_med,procurement_risk_tier,stockout_risk_score,target_coverage_days,current_inventory,reserved_inventory,available_inventory,days_of_cover,inventory_value,inventory_health,inventory_status
FOODS_2_197,A,X,AX,18.594520547945205,40.538,170.7,LOW,0.0117,30,556,48,508,27.3,1702.48,94.6,Healthy
FOODS_2_019,A,X,AX,15.687671232876712,31.265,141.079,LOW,0.0088,30,386,30,356,22.7,1193.35,85.4,Healthy
HOUSEHOLD_1_032,A,Y,AY,4.587671232876712,23.917,56.031,MEDIUM,0.3125,25,135,11,124,27.0,1328.43,94.0,Healthy
HOUSEHOLD_1_535,A,X,AX,6.278082191780822,18.686,62.633,LOW,0.0965,30,204,15,189,30.1,1317.33,100.0,Healthy
FOODS_2_244,A,X,AX,6.083561643835616,20.144,62.729,LOW,0.1167,30,173,9,164,27.0,970.2,94.0,Healthy
HOUSEHOLD_1_110,A,X,AX,9.58082191780822,23.393,90.459,LOW,0.0438,30,176,9,167,17.4,625.73,74.8,Monitor
FOODS_2_276,A,X,AX,10.689041095890412,26.603,101.426,LOW,0.0118,30,290,43,247,23.1,827.97,86.2,Healthy
FOODS_2_052,A,X,AX,2.647945205479452,9.833,28.369,LOW,0.1999,30,94,9,85,32.1,1145.25,100.0,Healthy
HOUSEHOLD_1_053,A,X,AX,2.3589041095890413,9.069,25.581,LOW,0.2033,30,48,4,44,18.7,658.68,77.4,Monitor
HOUSEHOLD_1_106,A,X,AX,3.864383561643836,14.443,41.494,LOW,0.1388,30,131,15,116,30.0,1055.94,100.0,Healthy
HOUSEHOLD_1_272,A,Y,AY,3.182191780821918,18.289,40.564,MEDIUM,0.4735,25,76,5,71,22.3,707.87,84.6,Healthy
HOUSEHOLD_1_096,A,X,AX,8.391780821917807,22.273,81.015,LOW,0.0485,30,176,26,150,17.9,562.03,75.8,Monitor
HOUSEHOLD_1_514,A,X,AX,8.058904109589042,20.261,76.673,LOW,0.0435,30,277,36,241,29.9,902.99,99.8,Healthy
HOUSEHOLD_1_494,A,X,AX,3.541095890410959,9.869,34.657,LOW,0.043,30,102,6,96,27.1,765.12,94.2,Healthy
FOODS_2_131,A,X,AX,4.228767123287671,14.794,44.395,LOW,0.1178,30,121,11,110,26.0,656.49,92.0,Healthy
FOODS_2_347,A,X,AX,11.912328767123288,29.454,112.84,LOW,0.0451,30,101,14,87,7.3,178.66,35.2,Low Stock
HOUSEHOLD_1_497,A,Y,AY,1.5520547945205478,7.773,18.637,MEDIUM,0.2851,25,40,6,34,21.9,516.11,83.8,Healthy
FOODS_2_349,A,X,AX,3.836986301369863,12.618,39.477,LOW,0.09,30,122,12,110,28.7,656.49,97.4,Healthy
FOODS_2_183,A,X,AX,2.468493150684932,9.439,26.718,LOW,0.1805,30,77,9,68,27.5,610.64,95.0,Healthy
HOUSEHOLD_1_066,A,X,AX,6.949315068493151,20.317,68.962,LOW,0.0893,30,205,14,191,27.5,581.37,95.0,Healthy
HOUSEHOLD_1_409,A,X,AX,7.135616438356164,16.857,66.806,LOW,0.0097,30,230,34,196,27.5,577.41,95.0,Healthy
FOODS_2_029,A,Z,AZ,1.9452054794520548,17.267,30.883,HIGH,1.1953,20,20,1,19,9.8,203.1,36.0,Low Stock
HOUSEHOLD_1_165,A,Y,AY,1.1616438356164382,6.783,14.915,MEDIUM,0.4683,25,13,2,11,9.5,195.99,38.7,Low Stock
HOUSEHOLD_1_140,A,Y,AY,1.3547945205479452,6.993,16.477,MEDIUM,0.3617,25,11,1,10,7.4,149.7,31.0,Low Stock
FOODS_1_170,A,Y,AY,3.6506849315068495,19.779,45.334,MEDIUM,0.4137,25,100,11,89,24.4,490.54,88.8,Healthy
FOODS_2_293,A,X,AX,4.861643835616438,19.08,53.112,LOW,0.0635,30,98,10,88,18.1,362.08,76.2,Monitor
FOODS_1_012,A,X,AX,3.532876712328767,11.36,36.09,LOW,0.0769,30,102,7,95,26.9,524.0,93.8,Healthy
HOUSEHOLD_1_338,A,X,AX,4.93972602739726,16.376,50.954,LOW,0.073,30,157,11,146,29.6,575.63,99.2,Healthy
HOUSEHOLD_1_072,A,X,AX,2.378082191780822,7.596,24.243,LOW,0.1036,30,77,6,71,29.9,566.58,99.8,Healthy
FOODS_1_004,A,X,AX,9.645205479452056,36.529,104.045,LOW,0.1693,30,126,9,117,12.1,226.9,54.2,Monitor
FOODS_2_222,A,X,AX,7.131506849315069,24.84,74.761,LOW,0.0778,30,56,7,49,6.9,124.77,31.3,Low Stock
HOUSEHOLD_1_469,A,Y,AY,0.9657534246575342,5.716,12.476,MEDIUM,0.5394,25,24,2,22,22.8,395.34,85.6,Healthy
HOUSEHOLD_1_027,A,X,AX,2.9616438356164383,9.965,30.697,LOW,0.0741,30,82,5,77,26.0,450.43,92.0,Healthy
FOODS_2_371,A,X,AX,8.53013698630137,19.164,78.875,LOW,0.0219,30,301,44,257,30.1,514.0,100.0,Healthy
FOODS_2_030,A,X,AX,3.745205479452055,9.884,36.1,LOW,0.0349,30,134,19,115,30.7,515.2,100.0,Healthy
HOUSEHOLD_1_347,A,X,AX,2.0575342465753423,7.16,21.563,LOW,0.1544,30,50,7,43,20.9,342.71,81.8,Healthy
HOUSEHOLD_1_429,A,X,AX,5.517808219178082,14.926,53.551,LOW,0.0536,30,163,24,139,25.2,412.32,90.4,Healthy
HOUSEHOLD_1_440,A,Y,AY,1.0726027397260274,6.029,13.537,MEDIUM,0.4677,25,26,2,24,22.4,359.28,84.8,Healthy
HOUSEHOLD_1_310,A,X,AX,2.247945205479452,8.515,24.251,LOW,0.2098,30,76,7,69,30.7,482.68,100.0,Healthy
FOODS_1_087,A,X,AX,2.83013698630137,10.358,30.169,LOW,0.1325,30,88,11,77,27.2,424.34,94.4,Healthy
HOUSEHOLD_1_177,A,Y,AY,2.149315068493151,8.661,23.706,LOW,0.2308,25,51,6,45,20.9,314.79,81.8,Healthy
HOUSEHOLD_1_191,A,Y,AY,4.864383561643836,25.764,59.815,MEDIUM,0.4175,25,134,9,125,25.7,386.11,91.4,Healthy
FOODS_2_082,A,X,AX,2.463013698630137,9.469,26.71,LOW,0.2045,30,68,9,59,24.0,352.82,88.0,Healthy
FOODS_2_060,A,X,AX,1.7438356164383562,5.895,18.102,LOW,0.1532,30,62,4,58,33.3,453.27,100.0,Healthy
FOODS_1_043,A,X,AX,6.989041095890411,25.29,74.213,LOW,0.1412,30,206,15,191,27.3,370.4,94.6,Healthy
HOUSEHOLD_1_410,A,Z,AZ,3.1767123287671235,20.025,42.262,HIGH,0.873,20,77,8,69,21.7,293.45,83.4,Healthy
FOODS_2_101,A,X,AX,2.221917808219178,8.469,24.022,LOW,0.1871,30,41,4,37,16.7,221.26,73.4,Monitor
HOUSEHOLD_1_457,A,Y,AY,1.3123287671232875,6.788,15.974,MEDIUM,0.3369,25,20,2,18,13.7,181.81,57.4,Monitor
HOUSEHOLD_1_373,A,X,AX,3.850684931506849,12.145,39.1,LOW,0.0754,30,123,7,116,30.1,396.72,100.0,Healthy
FOODS_2_181,A,X,AX,6.472602739726027,16.089,61.397,LOW,0.0211,30,183,25,158,24.4,316.0,88.8,Healthy
HOUSEHOLD_1_304,A,X,AX,5.826027397260274,12.713,53.495,LOW,0.0117,30,128,10,118,20.3,256.8,80.6,Healthy
FOODS_2_056,A,Y,AY,1.7904109589041095,7.74,20.273,LOW,0.2858,25,53,3,50,27.9,351.82,95.8,Healthy
FOODS_2_342,A,Y,AY,2.0821917808219177,9.653,24.228,MEDIUM,0.2284,25,64,9,55,26.4,328.9,92.8,Healthy
HOUSEHOLD_1_100,A,Y,AY,1.556164383561644,7.886,18.779,MEDIUM,0.3148,25,48,7,41,26.3,326.77,92.6,Healthy
FOODS_2_194,A,Z,AZ,1.8027397260273967,11.884,24.503,HIGH,0.6513,20,30,4,26,14.4,178.41,57.1,Monitor
