item_id,product_name,brand,unit_size,dept_id
FOODS_2_197,HealthyStart Energy Drink 1,HealthyStart,24 Pack,FOODS_2
FOODS_2_019,FreshAir Fruit Juice 2,FreshAir,250ml,FOODS_2
HOUSEHOLD_1_032,CleanPro Toilet Paper 3,CleanPro,750g,HOUSEHOLD_1
HOUSEHOLD_1_535,Sparkle Fabric Softener 4,Sparkle,2L,HOUSEHOLD_1
FOODS_2_244,DairyFresh Vanilla Ice Cream 5,DairyFresh,2L,FOODS_2
HOUSEHOLD_1_110,QuickBite Glass Cleaner 6,QuickBite,250ml,HOUSEHOLD_1
FOODS_2_276,DairyFresh Chocolate Cookies 7,DairyFresh,500ml,FOODS_2
FOODS_2_052,SoftHome Chocolate Cookies 8,SoftHome,250ml,FOODS_2
HOUSEHOLD_1_053,SoftHome Laundry Detergent 9,SoftHome,12 Pack,HOUSEHOLD_1
HOUSEHOLD_1_106,PowerRush Bathroom Cleaner 10,PowerRush,250g,HOUSEHOLD_1
HOUSEHOLD_1_272,SoftHome Multi Surface Spray 11,SoftHome,750g,HOUSEHOLD_1
HOUSEHOLD_1_096,CreamWorld Bathroom Cleaner 12,CreamWorld,1kg,HOUSEHOLD_1
HOUSEHOLD_1_514,SnackMax Glass Cleaner 13,SnackMax,750g,HOUSEHOLD_1
HOUSEHOLD_1_494,SnackMax Toilet Paper 14,SnackMax,6 Pack,HOUSEHOLD_1
FOODS_2_131,GoldenGrain Energy Drink 15,GoldenGrain,1kg,FOODS_2
FOODS_2_347,GoldenGrain Cup Noodles 16,GoldenGrain,12 Pack,FOODS_2
HOUSEHOLD_1_497,CleanPro Floor Cleaner 17,CleanPro,250ml,HOUSEHOLD_1
FOODS_2_349,HealthyStart Chocolate Cookies 18,HealthyStart,1L,FOODS_2
FOODS_2_183,FreshAir Chicken Nuggets 19,FreshAir,2L,FOODS_2
HOUSEHOLD_1_066,MorningBrew Tissue Box 20,MorningBrew,250g,HOUSEHOLD_1
HOUSEHOLD_1_409,GoldenGrain Toilet Cleaner 21,GoldenGrain,2L,HOUSEHOLD_1
FOODS_2_029,GoldenGrain Vanilla Ice Cream 22,GoldenGrain,500ml,FOODS_2
