item_id,supplier_id,supplier_type,supplier_price,lead_time_days,reliability_score,quality_score,fill_rate,risk_score,capacity_units
FOODS_2_197,SUP005,Balanced,3.5,8,88,80,90,24,7000
FOODS_2_197,SUP003,Balanced,3.55,10,84,81,87,20,7000
FOODS_2_197,SUP002,Strategic,3.77,9,97,94,95,7,10000
FOODS_2_197,SUP001,Strategic,3.94,10,97,94,98,11,10000
FOODS_2_019,SUP002,Strategic,3.68,9,97,94,95,7,10000
FOODS_2_019,SUP003,Balanced,3.35,10,84,81,87,20,7000
FOODS_2_019,SUP010,Emergency,4.46,2,85,83,86,11,3000
FOODS_2_019,SUP005,Balanced,3.36,8,88,80,90,24,7000
HOUSEHOLD_1_032,SUP009,Emergency,15.89,4,91,91,97,12,3000
HOUSEHOLD_1_032,SUP002,Strategic,12.34,9,97,94,95,7,10000
HOUSEHOLD_1_032,SUP010,Emergency,14.35,2,85,83,86,11,3000
HOUSEHOLD_1_032,SUP005,Balanced,10.68,8,88,80,90,24,7000
HOUSEHOLD_1_535,SUP003,Balanced,6.89,10,84,81,87,20,7000
HOUSEHOLD_1_535,SUP005,Balanced,6.91,8,88,80,90,24,7000
HOUSEHOLD_1_535,SUP002,Strategic,7.68,9,97,94,95,7,10000
HOUSEHOLD_1_535,SUP009,Emergency,10.34,4,91,91,97,12,3000
FOODS_2_244,SUP002,Strategic,6.94,9,97,94,95,7,10000
FOODS_2_244,SUP004,Balanced,6.19,6,84,80,91,27,7000
FOODS_2_244,SUP005,Balanced,6.11,8,88,80,90,24,7000
FOODS_2_244,SUP001,Strategic,6.72,10,97,94,98,11,10000
HOUSEHOLD_1_110,SUP005,Balanced,3.61,8,88,80,90,24,7000
HOUSEHOLD_1_110,SUP002,Strategic,4.04,9,97,94,95,7,10000
HOUSEHOLD_1_110,SUP004,Balanced,3.61,6,84,80,91,27,7000
HOUSEHOLD_1_110,SUP010,Emergency,5.31,2,85,83,86,11,3000
FOODS_2_276,SUP009,Emergency,4.91,4,91,91,97,12,3000
FOODS_2_276,SUP003,Balanced,3.48,10,84,81,87,20,7000
FOODS_2_276,SUP001,Strategic,3.8,10,97,94,98,11,10000
FOODS_2_276,SUP002,Strategic,3.92,9,97,94,95,7,10000
FOODS_2_052,SUP001,Strategic,16.21,10,97,94,98,11,10000
FOODS_2_052,SUP005,Balanced,13.8,8,88,80,90,24,7000
FOODS_2_052,SUP004,Balanced,14.13,6,84,80,91,27,7000
FOODS_2_052,SUP002,Strategic,15.56,9,97,94,95,7,10000
HOUSEHOLD_1_053,SUP005,Balanced,15.73,8,88,80,90,24,7000
HOUSEHOLD_1_053,SUP001,Strategic,17.15,10,97,94,98,11,10000
HOUSEHOLD_1_053,SUP002,Strategic,16.13,9,97,94,95,7,10000
HOUSEHOLD_1_053,SUP009,Emergency,21.12,4,91,91,97,12,3000
HOUSEHOLD_1_106,SUP002,Strategic,9.7,9,97,94,95,7,10000
HOUSEHOLD_1_106,SUP003,Balanced,9.41,10,84,81,87,20,7000
HOUSEHOLD_1_106,SUP005,Balanced,9.13,8,88,80,90,24,7000
HOUSEHOLD_1_106,SUP010,Emergency,12.38,2,85,83,86,11,3000
HOUSEHOLD_1_272,SUP009,Emergency,14.2,4,91,91,97,12,3000
HOUSEHOLD_1_272,SUP001,Strategic,11.66,10,97,94,98,11,10000
HOUSEHOLD_1_272,SUP010,Emergency,14.23,2,85,83,86,11,3000
HOUSEHOLD_1_272,SUP005,Balanced,9.94,8,88,80,90,24,7000
HOUSEHOLD_1_096,SUP003,Balanced,3.87,10,84,81,87,20,7000
HOUSEHOLD_1_096,SUP010,Emergency,5.14,2,85,83,86,11,3000
HOUSEHOLD_1_096,SUP009,Emergency,5.32,4,91,91,97,12,3000
HOUSEHOLD_1_096,SUP005,Balanced,3.61,8,88,80,90,24,7000
