supplier_id,supplier_name,supplier_type,lead_time_days,reliability_score,quality_score,fill_rate,cost_factor,risk_score,capacity_units
SUP001,Strategic Supplier 001,Strategic,10,97,94,98,1.167,11,10000
SUP002,Strategic Supplier 002,Strategic,9,97,94,95,1.121,7,10000
SUP003,Balanced Supplier 003,Balanced,10,84,81,87,1.033,20,7000
SUP004,Balanced Supplier 004,Balanced,6,84,80,91,1.011,27,7000
SUP005,Balanced Supplier 005,Balanced,8,88,80,90,1.011,24,7000
SUP006,Cost Supplier 006,Cost,12,76,76,84,0.868,32,12000
SUP007,Cost Supplier 007,Cost,14,83,76,85,0.84,47,12000
SUP008,Cost Supplier 008,Cost,13,78,71,73,0.753,31,12000
SUP009,Emergency Supplier 009,Emergency,4,91,91,97,1.45,12,3000
SUP010,Emergency Supplier 010,Emergency,2,85,83,86,1.399,11,3000
SUP011,Regional Supplier 011,Regional,8,80,80,84,1.014,37,5000
SUP012,Regional Supplier 012,Regional,4,86,76,84,1.079,33,5000
